epoch,loss_d,loss_g
0,0.4651789838402277,2.269102892390701
1,0.5110904649323628,1.877164454585905
2,0.5192778318913316,1.600178583185656
3,0.5352935791015625,1.4959182882527347
4,0.5156110638654917,1.5341663696460157
5,0.4977493811015155,1.613460682887897
6,0.47130927407734013,1.7031385600472733
7,0.43950890876301013,1.8487466820342136
8,0.41387830460967706,1.9634975224323876
9,0.3886841826437398,2.0677504920961356
10,0.3637428777227655,2.2307181036875208
11,0.33990366149761975,2.3608319342738833
12,0.3199746659706833,2.493319018432707
13,0.31122735365330984,2.573649802426993
14,0.30184359832026125,2.6538503799523947
15,0.28221663943270076,2.7737044874421044
16,0.27673589501268714,2.8434997578707493
17,0.2626600481348556,2.9459854511006376
18,0.23784279705402372,3.0862056821848274
19,0.24202220201661748,3.1342465647567472
20,0.2295015941992336,3.2145679782645393
21,0.23631086718439304,3.263376060337892
22,0.21066725883334028,3.372522990654069
23,0.21550914614837305,3.4057805222410305
24,0.205043558705544,3.4909625913681896
25,0.19598593780993287,3.5402365395221542
26,0.2242792016289427,3.451552167949599
27,0.2095967973555972,3.56507423728062
28,0.19982273627569122,3.571450165202294
29,0.1948037229287741,3.6615048768075296
30,0.18487904975996766,3.752847154637115
31,0.18339124355472233,3.7757781340081107
32,0.1789816592396981,3.821012107616576
33,0.18184029485263162,3.8296967487045652
34,0.17804939618813073,3.9098702493304325
35,0.1686623679157476,3.9727673625917097
36,0.16562841252782115,3.958626453480427
37,0.1635241347429209,4.042993689811332
38,0.15559662062797133,4.09385355486195
39,0.16724715713148,4.0868386734448805
40,0.15935731809868683,4.144246937941221
41,0.14509782001472638,4.277725753815055
42,0.14724149328755923,4.2335099906072875
43,0.15689892909093628,4.204155808318211
44,0.13644462736383486,4.3525840874928425
45,0.1601462105162023,4.240441289978056
46,0.16261277929217857,4.249199491922008
47,0.1282324820276837,4.416579362369759
48,0.13878717574462135,4.453901752734243
49,0.14124187188539525,4.424892873918039
50,0.13918130787822522,4.4334631277435355
51,0.13678055791659674,4.439571270699167
52,0.1360195030920697,4.525961148046046
53,0.1311803912833352,4.532246176141655
54,0.12635909918159133,4.615540127634098
55,0.14907755896117272,4.407527392239452
56,0.13695614077727383,4.543440055570419
57,0.12450138508534589,4.594179759269188
58,0.14002219106812577,4.576296549598703
59,0.11582236786373548,4.672063083602651
60,0.12910535705904755,4.66154945677997
61,0.12109446014493554,4.715198626792363
62,0.13347328697676597,4.627692468149031
63,0.1291326755723685,4.657984912734354
64,0.1185703295817221,4.836397351705324
65,0.1277826273536153,4.814990771248988
66,0.11921538890940117,4.724177181993718
67,0.11890957404715811,4.805396352648095
68,0.11307714723252979,4.899257417041067
69,0.12418756828851062,4.832252588911442
70,0.12478248029035373,4.800743491716556
71,0.11514514707886647,4.901976438541618
72,0.1093756297620311,4.954519454874151
73,0.10772291758548956,5.019834307001801
74,0.14284003285817043,4.736196748587725
75,0.1067206278623953,4.9319569747036045
76,0.10127000809710093,5.055524563636873
77,0.10077115219419991,5.112128380255389
78,0.11581706066085797,5.074353949181543
79,0.13210642609562295,4.915465628006981
